2026-05-22 11:20:21.535 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month c375f5ef6246 (2624 bytes)
2026-05-22 11:28:46.364 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 504.82s (cache_hit=False)
2026-05-22 11:28:46.370 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month d794bdab0988 (2624 bytes)
2026-05-22 11:37:13.515 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 507.11s (cache_hit=False)
2026-05-22 11:37:13.544 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month f070d07d1b10 (2498 bytes)
2026-05-22 11:43:40.290 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 386.74s (cache_hit=False)
2026-05-22 11:43:40.293 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 5740bae01da8 (2624 bytes)
2026-05-22 11:50:05.044 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 384.75s (cache_hit=False)
2026-05-22 11:50:05.047 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 59d5fbeab1ba (2580 bytes)
2026-05-22 11:54:34.719 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 269.67s (cache_hit=False)
2026-05-22 11:54:34.722 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month e0227580df68 (2047 bytes)
2026-05-22 11:54:34.772 | INFO     | prospective_validation.fetchers.era5:fetch_era5_daily:205 | [era5] EVR_01 2025-01-01→2026-05-22: 502 daily rows from 17 months
2026-05-22 11:54:34.779 | WARNING  | prospective_validation.geometry:site_polygon_coords:87 | [geometry] EVR_01 (1.2 ha) is < 5 ha; flagged as 'subpixel risk' in config — narrative reports should mark this site cautiously
2026-05-22 11:54:43.903 | DEBUG    | prospective_validation.audit:audited:94 | [audit] s2_gee OK in 7.99s (cache_hit=False)
2026-05-22 11:54:43.907 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT s2_gee 65f5d375a9e2 (3301 bytes)
2026-05-22 11:54:43.907 | INFO     | prospective_validation.fetchers.sentinel2:fetch_sentinel2_daily:132 | [s2] EVR_01 2025-01-01→2026-05-22: 68 cloud-free passes (full year: 68)
